year,month,anamoly
1955,3,-2.870669
1955,6,-0.112888
1955,9,-1.814083
1955,12,-8.006949
1956,3,-2.414768
1956,6,-4.435912
1956,9,-2.657124
1956,12,-0.925602
1957,3,-4.126613
1957,6,-5.5812
1957,9,-3.82883
1957,12,-4.916474
1958,3,-0.855497
1958,6,-1.357916
1958,9,-0.407367
1958,12,-3.510767
1959,3,-4.33201
1959,6,-0.125907
1959,9,-2.352136
1959,12,-1.947549
1960,3,-2.228227
1960,6,-1.15004
1960,9,-0.156131
1960,12,-2.23387
1961,3,-2.596117
1961,6,-2.191756
1961,9,-0.904012
1961,12,-2.766685
1962,3,-1.934748
1962,6,-3.028738
1962,9,1.394506
1962,12,-0.732579
1963,3,-2.489086
1963,6,-1.974558
1963,9,-3.880683
1963,12,-0.741971
1964,3,-2.540313
1964,6,-0.999268
1964,9,-3.550237
1964,12,-5.396096
1965,3,-3.407796
1965,6,-3.65106
1965,9,-2.26
1965,12,-2.920431
1966,3,-4.449895
1966,6,-3.879088
1966,9,-2.689776
1966,12,-4.756363
1967,3,-4.570902
1967,6,-3.258875
1967,9,-4.820662
1967,12,-4.795085
1968,3,-7.422575
1968,6,-4.560177
1968,9,-3.969478
1968,12,-6.957784
1969,3,-3.020569
1969,6,-4.898119
1969,9,-4.474476
1969,12,-5.531948
1970,3,-7.44103
1970,6,-5.943489
1970,9,-3.995159
1970,12,-3.814105
1971,3,-4.959378
1971,6,-3.910183
1971,9,-3.727275
1971,12,-2.47277
1972,3,-4.091771
1972,6,-2.54613
1972,9,-7.319351
1972,12,-6.997663
1973,3,-6.992906
1973,6,-3.276274
1973,9,-1.011778
1973,12,-2.796067
1974,3,-4.533091
1974,6,-3.247772
1974,9,-2.193655
1974,12,-1.12579
1975,3,-2.142686
1975,6,-2.137013
1975,9,-1.747955
1975,12,-0.17834
1976,3,-2.743946
1976,6,-0.842684
1976,9,-3.662868
1976,12,-3.163476
1977,3,0.753658
1977,6,1.487195
1977,9,-0.29661
1977,12,-1.816407
1978,3,0.659256
1978,6,0.186941
1978,9,-1.20887
1978,12,0.569558
1979,3,0.24465
1979,6,-1.640448
1979,9,-1.909762
1979,12,-0.532718
1980,3,1.621559
1980,6,1.813644
1980,9,-0.058621
1980,12,0.985672
1981,3,0.466168
1981,6,0.533019
1981,9,-1.49033
1981,12,0.979648
1982,3,-1.497396
1982,6,-1.675871
1982,9,-5.024016
1982,12,-1.026103
1983,3,-3.626007
1983,6,2.378227
1983,9,-6.587368
1983,12,-3.216753
1984,3,2.502179
1984,6,-2.455978
1984,9,-2.656893
1984,12,0.773232
1985,3,1.784006
1985,6,1.808964
1985,9,0.248777
1985,12,-3.403632
1986,3,-0.832693
1986,6,1.70314
1986,9,-1.31332
1986,12,-3.706717
1987,3,-0.207786
1987,6,-1.371921
1987,9,-2.150277
1987,12,0.158229
1988,3,0.584472
1988,6,0.316734
1988,9,1.238749
1988,12,2.213401
1989,3,1.054477
1989,6,2.184499
1989,9,0.722182
1989,12,-0.347525
1990,3,1.21432
1990,6,-1.216034
1990,9,-1.483189
1990,12,2.194469
1991,3,2.197155
1991,6,3.209013
1991,9,2.128846
1991,12,3.047556
1992,3,0.985267
1992,6,1.039358
1992,9,0.746549
1992,12,-0.484774
1993,3,1.901373
1993,6,0.014944
1993,9,0.072173
1993,12,0.746779
1994,3,1.721586
1994,6,-0.640411
1994,9,2.212865
1994,12,2.744318
1995,3,3.309005
1995,6,2.082141
1995,9,0.500147
1995,12,3.164881
1996,3,4.492706
1996,6,7.236955
1996,9,2.027039
1996,12,4.419283
1997,3,4.525184
1997,6,3.687088
1997,9,2.090838
1997,12,2.676821
1998,3,3.046107
1998,6,5.32325
1998,9,3.689378
1998,12,5.156275
1999,3,5.388621
1999,6,5.638433
1999,9,6.149937
1999,12,6.595028
2000,3,4.844887
2000,6,5.757782
2000,9,7.14543
2000,12,4.938114
2001,3,3.076658
2001,6,2.730675
2001,9,3.21216
2001,12,7.447564
2002,3,5.505122
2002,6,7.580072
2002,9,7.701444
2002,12,6.368651
2003,3,8.746294
2003,6,9.989262
2003,9,9.416777
2003,12,11.65459
2004,3,11.021722
2004,6,9.882789
2004,9,9.770217
2004,12,10.286994
2005,3,8.052857
2005,6,8.463406
2005,9,7.849959
2005,12,9.281116
2006,3,10.343987
2006,6,9.907466
2006,9,10.797616
2006,12,10.671572
2007,3,9.896998
2007,6,8.81155
2007,9,9.61194
2007,12,9.592806
2008,3,10.786727
2008,6,10.336976
2008,9,10.391797
2008,12,8.693175
2009,3,10.176744
2009,6,9.101278
2009,9,10.603387
2009,12,10.623396
2010,3,11.198472
2010,6,9.614333
2010,9,9.911397
2010,12,10.745736
2011,3,10.729161
2011,6,10.042295
2011,9,12.127405
2011,12,10.578467
2012,3,11.747399
2012,6,10.098619
2012,9,10.641594
2012,12,11.275383
2013,3,13.534068
2013,6,12.048531
2013,9,11.164961
2013,12,13.65546
2014,3,14.243009
2014,6,13.165339
2014,9,11.987585
2014,12,13.646789
2015,3,15.84637
2015,6,14.841905
2015,9,14.64152
2015,12,15.156898
2016,3,15.45853
2016,6,13.076438
2016,9,13.078745
2016,12,14.275308
2017,3,16.024471
2017,6,16.228298
2017,9,14.849831
2017,12,16.408493
2018,3,17.503874
2018,6,15.545946
2018,9,16.040094
2018,12,17.797443
2019,3,18.26557
2019,6,17.515776
2019,9,17.219067
2019,12,17.901997
2020,3,19.231215
2020,6,17.286221
2020,9,15.914822
2020,12,17.663042
2021,3,18.986416
2021,6,18.136728
2021,9,18.155346
2021,12,19.661541
2022,3,20.059818
2022,6,19.38064
2022,9,18.949022
2022,12,20.35737
2023,3,20.709352
2023,6,20.349693
